,stance1_successrate,stance2_successrate,stance3_successrate,stance4_successrate,stance5_successrate,stance6_successrate,stance7_successrate,stance8_successrate,stance9_successrate,stance10_successrate,stance11_successrate,stance12_successrate,stance13_successrate,stance14_successrate,stance1_steps,stance2_steps,stance3_steps,stance4_steps,stance5_steps,stance6_steps,stance7_steps,stance8_steps,stance9_steps,stance10_steps,stance11_steps,stance12_steps,stance13_steps,stance14_steps,stance1_rewards,stance2_rewards,stance3_rewards,stance4_rewards,stance5_rewards,stance6_rewards,stance7_rewards,stance8_rewards,stance9_rewards,stance10_rewards,stance11_rewards,stance12_rewards,stance13_rewards,stance14_rewards
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.43700666796186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,60,219,42,107,0,0,0,0,0,0,0,0,0,0,-21.73380906090462,-69.31289081655291,-22.041190663064416,-50.85894089069686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,55,146,54,89,0,0,0,0,0,0,0,0,0,0,-22.397354336171755,-60.63966855073071,-25.99639352691689,-44.792368963328606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,57,157,43,86,139,206,536,149,132,221,55,114,0,0,-22.542331326547018,-56.31914890373518,-22.05622856482494,-44.974674108479505,-60.59801746150438,-81.62849043113627,-363.00816882990756,-86.64643765420635,-76.17001787372101,-102.57108035488884,-48.30991099517251,-54.520072065088456,0.0,0.0
4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,61,303,39,99,51,96,590,168,403,245,517,83,0,0,-23.145002772007018,-100.06321134907807,-21.252469642051665,-49.244674568391,-24.86761695865889,-52.991468509516885,-440.1534981888684,-83.44831588978526,-216.73917914676133,-76.6099718826876,-210.6267041447234,-40.06355205874533,0.0,0.0
5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,60,397,41,115,84,0,0,0,0,0,0,0,0,0,-21.507186995144977,-134.8817630501505,-24.323161008432617,-61.87861482106962,-42.953054229336594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,394,38,114,59,97,45,191,489,186,685,86,423,102,-21.64065051097075,-118.99748381108732,-19.41607514993174,-53.52955626228611,-32.76455616534302,-71.41543550776437,-22.081018523312398,-100.43260002305557,-252.15053416245271,-93.65069756177269,-344.75957263867457,-51.14854639080149,-242.80652177256468,-39.84222994090826
7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,58,607,44,298,188,0,0,0,0,0,0,0,0,0,-23.545071408682833,-154.92088639957294,-23.13446144808771,-110.1140504810144,-70.31797562568194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.693847840996927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1,1,1,1,1,1,1,1,1,1,0,0,0,50,266,37,109,47,93,294,84,414,184,456,0,0,0,-21.034020844780397,-93.59898947066014,-22.248474758150593,-61.75936867209339,-28.2091344371156,-48.49517914871323,-253.89061840541672,-45.233401322489726,-263.6821762432886,-73.39006884814404,-202.3160370696301,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,52,139,54,83,186,164,44,179,0,0,0,0,0,0,-21.169380770501718,-62.773501411828356,-30.679868127909327,-50.65413621197123,-88.52937700323699,-73.23930411799572,-25.910821419840563,-99.29438199788395,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,54,365,41,157,0,0,0,0,0,0,0,0,0,0,-21.996736112241877,-114.52700135930306,-21.74948605539136,-72.97391235123081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,61,448,34,101,120,0,0,0,0,0,0,0,0,0,-23.16862757304746,-125.98301903037876,-18.395414364325077,-50.0552503283578,-57.14950147669641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,51,152,57,249,45,118,229,67,244,349,63,90,0,0,-21.25947476933164,-56.47662828761484,-31.409665065868374,-100.99279991893555,-23.321562768190645,-59.76134353950912,-103.89793144783428,-40.65799625488793,-133.37443736267957,-199.86790218702527,-54.77615477551156,-50.9382681781389,0.0,0.0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,252,42,81,50,430,39,137,184,264,321,215,454,50,-21.622301064044862,-82.83080565761438,-20.42483225005188,-42.81289359807194,-24.978074982000727,-157.10185377126723,-18.494853649735553,-87.73298828300764,-125.9407231578764,-125.36236588746165,-168.62733147652028,-111.07532665058072,-248.09643447272688,-25.140333002415304
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,-99653.96775218278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,160,43,116,45,117,65,179,326,280,51,185,129,186,-22.52187955280289,-67.8035957709546,-22.726339826345406,-68.34231165752738,-25.29780442034818,-70.069178740509,-31.007104080739772,-80.23883568569961,-150.38858927874088,-114.99463184511421,-41.26194430442021,-78.7102899141534,-81.6510276179346,-81.11759825227965
17,1,1,1,1,1,0,0,0,0,0,0,0,0,0,52,305,48,102,48,0,0,0,0,0,0,0,0,0,-21.78452615972028,-100.71695361105108,-29.859801907931622,-55.99522826869424,-24.14840947129554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,335,48,129,71,270,295,80,237,247,177,167,254,57,-20.95873514497269,-126.83636841841856,-31.270445457219253,-63.568883228516675,-32.713597557739696,-131.0360340991331,-217.2114104705998,-52.4805975148959,-142.02632423397856,-94.91372444902746,-85.810726912636,-76.21787984046284,-126.19699767754659,-26.710936385524537
19,1,1,1,1,1,0,0,0,0,0,0,0,0,0,59,382,41,146,45,0,0,0,0,0,0,0,0,0,-21.534692715016334,-117.19962181046307,-23.575710156606377,-67.23617828769275,-22.468151210755842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,63,180,43,84,0,0,0,0,0,0,0,0,0,0,-23.00967369392503,-69.3361651748791,-21.218072428296164,-47.915657055408055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.03036297127957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
