,stance1_successrate,stance2_successrate,stance3_successrate,stance1_steps,stance2_steps,stance3_steps,stance1_rewards,stance2_rewards,stance3_rewards
0,0,0,0,201,0,0,-47.22376334139505,0.0,0.0
1,0,0,0,201,0,0,-61.519488490193766,0.0,0.0
2,1,0,0,48,201,0,-23.23763840983415,-194.07031301086755,0.0
3,1,1,1,51,41,109,-23.560810319766535,-11.374945124493713,-27.796912384769318
4,1,1,0,52,36,201,-24.965803333232923,-10.798829050265814,-211.05871220654421
5,0,0,0,201,0,0,-55.91647502096442,0.0,0.0
6,1,1,1,52,24,95,-26.122646605562327,-6.613031926668116,-22.596953215975653
7,1,0,0,62,201,0,-24.055509812481237,-132.34551907933985,0.0
8,1,1,1,60,39,178,-27.860219405242688,-14.154987566543827,-30.58300733960669
9,1,1,1,52,45,95,-23.95758561739282,-14.12575059086522,-20.295098222572857
10,1,1,1,52,26,141,-24.184423968339118,-7.479975678908521,-28.020568106513693
11,1,1,0,54,34,201,-25.099262640170082,-9.709746520532011,-42.361084671299835
12,1,1,1,61,47,118,-27.30468762750203,-14.165431641542277,-23.08082495003265
13,1,0,0,106,201,0,-30.324282774294385,-91.4053959131021,0.0
14,1,0,0,45,201,0,-21.886536571392,-183.0699012806902,0.0
15,0,0,0,201,0,0,-37.93259415187212,0.0,0.0
16,1,0,0,56,201,0,-26.641602746009642,-149.62003576912088,0.0
17,1,0,0,55,201,0,-23.56564625872716,-128.1385897817321,0.0
18,1,0,0,52,201,0,-23.50928965776458,-73.3108549407184,0.0
19,1,0,0,54,201,0,-25.83598691974819,-125.00229928771103,0.0
20,1,1,0,59,38,201,-26.3244193506859,-13.732619403583712,-40.78314972001147
21,1,0,0,50,201,0,-23.12261935749483,-135.02572329670434,0.0
22,1,0,0,50,201,0,-23.76856199420113,-193.91415431060855,0.0
23,1,0,0,54,201,0,-23.040138412605035,-236.40639229579315,0.0
24,1,1,1,72,41,82,-24.255890990483827,-10.917487597845785,-15.846641081398259
25,1,1,1,54,34,110,-27.97733052963272,-7.5875195393907635,-23.45705505110504
26,1,0,0,62,201,0,-25.483418553380478,-89.9343039456142,0.0
27,1,0,0,51,201,0,-19.823033340833778,-133.1090556586229,0.0
28,1,0,0,55,201,0,-23.839840404107292,-136.5082031735796,0.0
29,1,0,0,48,201,0,-22.503576187354163,-137.56078858555256,0.0
30,1,0,0,49,201,0,-21.391960480186565,-118.8672249902577,0.0
31,1,0,0,53,201,0,-24.769694520471962,-127.05034985062206,0.0
32,1,1,1,50,30,141,-24.21626786688243,-8.160777340853956,-28.24929717127781
33,1,1,1,49,27,100,-23.74699795655689,-6.424872994807625,-26.605380757825294
34,1,0,0,54,201,0,-25.365365402907223,-123.43430073487772,0.0
35,1,0,0,48,201,0,-21.293149870885237,-216.0273783242265,0.0
36,1,0,0,47,201,0,-23.811140279435254,-127.35420519999109,0.0
37,1,0,0,53,201,0,-23.937664021409955,-245.73500403950712,0.0
38,1,1,1,50,39,104,-22.950968747613345,-11.99192961359673,-22.204130635244454
39,1,0,0,49,201,0,-23.018077588982802,-140.1529549384101,0.0
40,1,0,0,48,201,0,-23.341068741061438,-121.49973128985208,0.0
41,1,1,1,61,33,107,-24.09894939796398,-8.816252304515187,-25.78255327999268
42,1,0,0,49,201,0,-23.019798808673155,-117.69825676598661,0.0
43,1,1,1,56,27,123,-24.97153897622041,-6.758110561686982,-32.59167355261584
44,1,1,0,55,25,201,-26.177262386369694,-6.733593613606858,-56.57642146522545
45,0,0,0,201,0,0,-77.50199831091446,0.0,0.0
46,1,0,0,50,201,0,-23.362169516126993,-256.0095274917293,0.0
47,1,1,1,49,27,82,-23.551472173054343,-6.504519626053149,-15.425876695843579
48,1,1,0,49,35,201,-23.279771336478763,-9.528299115436909,-41.78640305527718
49,1,0,0,75,201,0,-25.565797495327125,-144.861741190594,0.0
50,1,1,1,53,26,92,-24.279100845864857,-7.176759247679734,-20.80021918770973
51,1,1,1,58,41,135,-27.936239296530857,-11.402057410667,-43.27023209368216
52,1,0,0,53,201,0,-26.068202540644297,-143.22560927466975,0.0
53,1,1,1,51,29,102,-23.185776321221613,-7.967640223430927,-30.190890709433468
54,1,0,0,49,201,0,-24.5210152659413,-155.43345997992603,0.0
55,1,0,0,54,201,0,-26.443825672928394,-121.72103093759662,0.0
56,1,0,0,54,201,0,-26.422062203992148,-186.95400012445052,0.0
57,1,1,1,48,24,175,-22.420275626905163,-5.991061919279318,-28.793737371092856
58,1,1,0,56,25,201,-26.94411078165584,-5.849949881869682,-38.3673765532467
59,1,0,0,83,201,0,-28.889950080310694,-114.74556715968215,0.0
60,1,0,0,57,201,0,-23.766907364281497,-135.72718569072273,0.0
61,1,1,1,48,28,83,-21.676914037847588,-7.826001415935684,-18.05364217636081
62,1,1,1,53,36,150,-23.56447333746797,-12.161225603912499,-27.64457002652347
63,1,1,1,65,33,168,-24.119944884072286,-9.770995272026742,-35.88691337616353
64,1,1,0,51,47,201,-22.610445466670523,-14.63374530869882,-44.82824139815649
65,1,1,1,61,83,110,-23.527972484944737,-39.53513648811267,-23.329253400248547
66,1,1,1,48,24,167,-22.197333518217444,-5.558491133821919,-31.784005825654088
67,1,0,0,55,201,0,-25.701775767441138,-121.54738206266289,0.0
68,1,1,1,64,76,103,-25.34660007092937,-28.22299063789406,-21.13940359246888
69,1,0,0,52,201,0,-22.539299399915087,-126.16254898613913,0.0
70,1,0,0,55,201,0,-22.86684124016062,-112.57426950679306,0.0
71,0,0,0,201,0,0,-60.223499248189945,0.0,0.0
72,1,0,0,50,201,0,-23.20239787326379,-278.6395504080187,0.0
73,1,0,0,51,201,0,-23.004101711793634,-146.2742311237434,0.0
74,1,1,1,56,101,109,-23.343517148504137,-45.31405683191505,-24.637908060672405
75,1,0,0,51,201,0,-23.54830176715988,-120.42925478069117,0.0
76,1,1,0,53,24,201,-20.96072840444576,-5.977851440990068,-40.32078146003436
77,1,1,1,61,35,107,-23.70900115369784,-10.076514864803542,-27.61257374924938
78,1,1,1,79,45,85,-27.598612639869113,-12.3674184415548,-17.271614529375388
79,1,1,0,49,24,201,-23.07770563850161,-6.148961229738741,-34.98782072258082
80,1,0,0,50,201,0,-21.155679440542105,-165.05969356357068,0.0
81,1,0,0,45,201,0,-19.952842751057585,-117.58247300324095,0.0
82,1,1,0,51,40,201,-23.72911511639476,-10.827555324527603,-65.92300398881206
83,1,0,0,64,201,0,-28.6208579706073,-126.35852828245287,0.0
84,1,0,0,51,201,0,-21.3052490499517,-191.15570774850957,0.0
85,1,0,0,53,201,0,-22.90582835166392,-136.0356727265199,0.0
86,1,1,1,50,36,114,-25.040190543457403,-9.690420004129319,-27.81544667699957
87,0,0,0,201,0,0,-69.72100784482203,0.0,0.0
88,1,1,1,58,41,105,-22.31339451618211,-12.237514253712417,-25.063178648215423
89,1,0,0,54,201,0,-25.43920236744409,-138.94238758348834,0.0
90,1,0,0,57,201,0,-27.045459320247627,-120.54174910019353,0.0
91,1,0,0,49,201,0,-22.776838208069034,-117.95300705045383,0.0
92,1,0,0,52,201,0,-24.037042766363165,-137.66335115380184,0.0
93,1,0,0,113,201,0,-28.723212255941636,-85.24687140975318,0.0
94,1,0,0,57,201,0,-24.809171209476016,-134.2027999182086,0.0
95,1,1,1,52,38,181,-23.886371445996726,-12.936004739295203,-43.69267023881201
96,1,1,0,87,136,201,-26.56225317990395,-75.24614127811485,-42.46329937851756
97,1,0,0,56,201,0,-25.26211971708351,-162.13930060965552,0.0
98,1,1,1,49,29,105,-21.542185117463784,-7.464963605144194,-25.87686963018015
99,1,0,0,115,201,0,-33.2403514201608,-113.41962060452022,0.0
100,1,1,1,53,33,153,-25.655667613539123,-10.347052663260413,-23.62666067566668
101,1,1,0,167,49,201,-41.348433754352925,-15.287265460530508,-48.39982265724597
102,1,1,1,47,20,152,-20.485193894106107,-5.146379174087635,-37.56343630795586
103,1,1,1,53,33,164,-25.03445808345432,-10.038219193519268,-26.8676840924306
104,1,1,1,58,39,170,-24.82178343853023,-12.393537710858407,-39.59730818843642
105,1,1,1,58,41,126,-26.203890364037694,-12.471261360069306,-29.793288587562945
106,1,1,1,49,35,120,-19.814776882081777,-9.828657762291868,-32.987519072684364
107,1,0,0,75,201,0,-26.120078171537084,-126.87865869610694,0.0
108,1,0,0,52,201,0,-23.543938392812873,-267.3747127060242,0.0
109,1,0,0,49,201,0,-23.350915540180857,-122.20457516681314,0.0
110,1,1,1,49,25,95,-21.38165126186447,-6.388805675334221,-20.021418243865032
111,1,1,1,189,45,128,-42.442145172765834,-14.71069877286239,-29.71966391816185
112,1,1,1,54,42,93,-25.728852769307103,-12.998683139342328,-17.084763001298914
113,1,1,1,55,43,157,-23.01872054137808,-12.904945382547208,-36.22248719208473
114,1,0,0,53,201,0,-20.841845415446606,-199.56787159925858,0.0
115,0,0,0,201,0,0,-42.586927722592414,0.0,0.0
116,1,0,0,52,201,0,-22.113707802642672,-118.88830355060617,0.0
117,1,1,0,52,24,201,-23.464684258107162,-6.084367344450374,-165.88221204350566
118,1,0,0,68,201,0,-24.88973237771804,-203.31182321401764,0.0
119,1,1,1,54,44,86,-20.528583966702577,-13.10751066547046,-17.29948645088392
120,1,1,1,50,57,137,-20.69988789549199,-20.243118729340214,-22.354333743154616
121,1,0,0,48,201,0,-23.20352241660003,-152.25515371247326,0.0
122,1,1,1,54,31,99,-24.50582189976177,-7.994554625552827,-19.396853727760675
123,1,0,0,52,201,0,-24.240529186776655,-122.14069235920908,0.0
124,1,0,0,52,201,0,-27.063502291951124,-277.04294190304233,0.0
125,1,0,0,52,201,0,-22.335183121944805,-132.28095440272008,0.0
126,1,1,0,48,23,201,-22.84458004436185,-6.021653872449533,-195.11250953460805
127,1,1,1,59,41,141,-27.191140321794308,-12.585456856175844,-31.749736780610426
128,1,1,0,52,26,201,-23.72769743354815,-6.545887049556131,-37.761749511337314
129,1,0,0,53,201,0,-24.401348671246343,-126.53160625763891,0.0
130,1,1,0,49,27,201,-23.99444225754888,-7.8560901841010855,-110.13647270312367
131,1,1,1,52,27,198,-21.806405244814457,-6.142518943171303,-45.918276081231795
132,1,1,0,47,20,201,-20.030236945460224,-5.13018050262525,-122.21797794587333
133,1,1,1,54,38,87,-23.749181196005527,-12.075745311222578,-19.40945333414838
134,1,0,0,52,201,0,-23.730649131213198,-186.99996330984638,0.0
135,1,1,0,56,36,201,-23.513619891561586,-9.81366087690754,-41.19669632033517
136,1,1,1,52,45,174,-23.998865086584594,-14.972881088096184,-35.42723235784247
137,0,0,0,201,0,0,-56.56960349133628,0.0,0.0
138,1,1,0,47,20,201,-23.31494767274341,-4.984458790961438,-72.58649268404929
139,1,1,1,52,36,103,-23.676292547225398,-13.264834646236086,-25.15876696738327
140,0,0,0,201,0,0,-41.053652672529694,0.0,0.0
141,1,0,0,51,201,0,-22.856119429934324,-351.5324865496795,0.0
142,1,0,0,47,201,0,-21.723341605892227,-124.30140951832104,0.0
143,1,0,0,49,201,0,-22.509858662167645,-113.331000066902,0.0
144,1,1,0,47,21,201,-23.619236249179163,-5.465874507457172,-104.41513016781158
145,1,0,0,54,201,0,-25.249597666286565,-116.68108218031242,0.0
146,1,1,1,60,43,110,-23.7894979986022,-10.339041049009488,-24.065275841268438
147,1,0,0,53,201,0,-24.843845411124395,-118.21745293008983,0.0
148,1,1,0,53,33,201,-23.32688502724453,-8.6361747213657,-180.8251277559506
149,1,1,1,53,28,98,-25.94277561062989,-7.477976824001754,-19.258807150854
150,1,1,1,50,20,117,-24.705126830291764,-5.3884877189957985,-27.930107602309594
151,0,0,0,201,0,0,-64.99402968531714,0.0,0.0
152,1,1,1,54,35,112,-24.875710405443318,-9.747174368905897,-28.384538513803594
153,1,0,0,57,201,0,-25.306000236071895,-91.46031217284845,0.0
154,1,1,1,52,41,105,-22.578643168177724,-12.540786219868936,-21.954193949822923
155,1,0,0,56,201,0,-25.20794114271985,-183.9161275137215,0.0
156,1,1,1,55,30,137,-26.411212601692473,-9.251263504695546,-38.2220938778055
157,1,1,1,49,34,123,-23.676910139078647,-9.313067533066196,-36.27722492071792
158,1,0,0,62,201,0,-25.049833043541675,-111.31139214330636,0.0
159,1,1,1,53,28,99,-25.606614184479753,-7.135413136003357,-20.281368296440704
160,1,1,1,58,60,109,-27.678430232245056,-20.94558869382132,-27.737893096173657
161,1,1,1,52,50,111,-25.00741935348341,-16.960806054367172,-26.23291911938461
162,1,1,1,51,49,140,-24.510339765763288,-16.43724534799914,-24.05694529674183
163,1,1,1,62,39,110,-27.056149429414855,-9.910015786319887,-22.525328036217996
164,1,0,0,51,201,0,-22.498052434309052,-186.50645847013882,0.0
165,1,1,1,54,71,100,-25.93005882249144,-30.523629029779986,-22.036393658734436
166,1,1,1,47,20,133,-22.272709883191574,-5.071564570548854,-19.254164194649945
167,1,0,0,55,201,0,-25.81336649310424,-98.96924142094414,0.0
168,1,0,0,53,201,0,-23.59477465121828,-115.27681096901249,0.0
169,1,1,1,57,37,90,-22.386604169566144,-10.040329099162532,-18.518292911258147
170,1,1,1,55,55,110,-24.177760722861315,-18.52952225447015,-25.30899702645036
171,0,0,0,201,0,0,-88.79355218888558,0.0,0.0
172,1,0,0,47,201,0,-24.491435551537275,-125.17658036502635,0.0
173,1,1,0,48,23,201,-22.367547480476297,-6.349679714794163,-51.16910261133645
174,1,1,0,58,34,201,-21.536011340572244,-9.057333402617658,-44.0203961675535
175,1,0,0,54,201,0,-25.4725855804745,-145.2855968507139,0.0
176,0,0,0,201,0,0,-51.830961967714174,0.0,0.0
177,1,1,1,47,22,126,-21.016609252094558,-5.479848902721269,-27.380447407580853
178,1,0,0,59,201,0,-26.713192885599277,-148.20494933603092,0.0
179,1,0,0,48,201,0,-20.13076995878773,-282.76846957937306,0.0
180,0,0,0,201,0,0,-51.28829600405479,0.0,0.0
181,1,1,1,53,42,80,-24.981345567572422,-14.891341957652202,-16.516130035979938
182,0,0,0,201,0,0,-71.85919426640707,0.0,0.0
183,1,0,0,53,201,0,-23.993252077827627,-119.86732190928782,0.0
184,1,1,1,63,42,114,-24.722580779587982,-12.008635546565953,-27.801795584279713
185,1,0,0,52,201,0,-24.186326357733172,-117.92090157121837,0.0
186,1,0,0,49,201,0,-24.609567336078694,-182.9747837804471,0.0
187,1,1,1,52,49,104,-23.667388713747965,-17.700098833801082,-23.3900741106192
188,1,1,1,53,25,103,-24.201426293674842,-6.914092312356149,-27.835953331332906
189,0,0,0,201,0,0,-38.314103966209956,0.0,0.0
190,1,0,0,51,201,0,-23.998400570334535,-213.3249725137795,0.0
191,1,0,0,52,201,0,-23.203192995430488,-153.56710585612313,0.0
192,1,1,0,46,24,201,-21.293930643008387,-6.151773848981151,-59.051357387169695
193,1,1,1,53,36,113,-24.84997829968187,-11.632131248649907,-26.55240376800058
194,1,0,0,56,201,0,-24.000043585744255,-130.4288132776967,0.0
195,1,0,0,48,201,0,-21.19645730010424,-112.96499517093538,0.0
196,1,1,1,52,43,91,-23.57425729532596,-13.437735258635767,-18.72056202222451
197,1,1,1,58,128,110,-21.816898908394446,-56.69792418438615,-27.069099876985735
198,1,0,0,51,201,0,-22.70473771368529,-134.86751029953658,0.0
199,1,0,0,54,201,0,-24.765315780346413,-275.78239004060026,0.0
200,1,0,0,74,201,0,-26.533016284693804,-133.6906297649478,0.0
201,1,1,1,47,26,85,-22.141584405141842,-6.579228728982943,-22.08975352417802
202,1,1,0,51,30,201,-23.91492348989567,-7.958210476716441,-39.58127744185942
203,1,1,1,48,33,93,-19.280786615647422,-9.06291594521144,-27.29521700832795
204,1,1,0,53,23,201,-24.918013805815185,-5.163881458737918,-146.029217811794
205,1,1,1,47,22,151,-21.109281760079714,-5.6155233345811,-28.60044269965232
206,1,0,0,51,201,0,-24.2068516521346,-114.57029031516971,0.0
